+----------------------------------+---------------------------------------------------------+------------------------------+------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Mod name                         | Registry name                                           | Display name                 | Max Damage | Tags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Minecraft                        | minecraft:iron_pickaxe                                  | [REMOVED] Iron Pickaxe       | 250        | forge:pickaxes, forge:tools, minecraft:cluster_max_harvestables, forge:tools/iron, forge:tools/pickaxes, bookshelf:pickaxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Minecraft                        | minecraft:iron_shovel                                   | Iron Shovel                  | 250        | forge:shovels, forge:tools/iron, forge:tools/shovels, forge:tools, bookshelf:shovels                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Minecraft                        | minecraft:iron_sword                                    | Iron Sword                   | 500        | bookshelf:swords, forge:tools/iron, forge:tools/swords, forge:swords, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Minecraft                        | minecraft:leather_boots                                 | Leather Boots                | 65         | bookshelf:boots, forge:boots, minecraft:freeze_immune_wearables, forge:armors, bookshelf:armor, forge:armor, forge:armors/boots                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Minecraft                        | minecraft:leather_chestplate                            | Leather Tunic                | 80         | bookshelf:chestplates, forge:chestplates, minecraft:freeze_immune_wearables, forge:armors/chestplates, forge:armors, bookshelf:armor, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| Minecraft                        | minecraft:leather_helmet                                | Leather Cap                  | 55         | forge:armors/helmets, bookshelf:helmets, minecraft:freeze_immune_wearables, forge:armors, bookshelf:armor, forge:helmets, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Minecraft                        | minecraft:leather_leggings                              | Leather Pants                | 75         | forge:armors/leggings, forge:leggings, minecraft:freeze_immune_wearables, forge:armors, bookshelf:armor, bookshelf:leggings, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Minecraft                        | minecraft:netherite_axe                                 | Netherite Axe                | 2031       | forge:tools/axes, bookshelf:axes, forge:tools/netherite, forge:axes, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Minecraft                        | minecraft:netherite_boots                               | Netherite Boots              | 481        | bookshelf:boots, forge:armor/netherite, forge:boots, forge:armors, bookshelf:armor, forge:armor, forge:armors/boots                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Minecraft                        | minecraft:netherite_chestplate                          | Netherite Chestplate         | 592        | bookshelf:chestplates, forge:chestplates, forge:armor/netherite, forge:armors/chestplates, forge:armors, bookshelf:armor, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| Minecraft                        | minecraft:netherite_helmet                              | Netherite Helmet             | 407        | forge:armors/helmets, bookshelf:helmets, forge:armor/netherite, forge:armors, bookshelf:armor, forge:helmets, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:netherite_hoe                                 | Netherite Hoe                | 2031       | bookshelf:hoes, forge:hoes, forge:tools, forge:tools/netherite, forge:tools/hoes, quark:big_harvesting_hoes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Minecraft                        | minecraft:netherite_leggings                            | Netherite Leggings           | 555        | forge:armors/leggings, forge:leggings, forge:armor/netherite, forge:armors, bookshelf:armor, bookshelf:leggings, forge:armor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Minecraft                        | minecraft:netherite_pickaxe                             | [REMOVED] Netherite Pickaxe  | 2031       | forge:pickaxes, forge:tools, minecraft:cluster_max_harvestables, forge:tools/pickaxes, forge:tools/netherite, bookshelf:pickaxes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Minecraft                        | minecraft:netherite_shovel                              | Netherite Shovel             | 2031       | forge:shovels, forge:tools/shovels, forge:tools/netherite, forge:tools, bookshelf:shovels                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:netherite_sword                               | Netherite Sword              | 2031       | forge:tools/netherite, bookshelf:swords, forge:tools/swords, forge:swords, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Minecraft                        | minecraft:shears                                        | Shears                       | 238        | forge:tools/iron, bookshelf:shears, forge:shears                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Minecraft                        | minecraft:shield                                        | Shield                       | 336        | farmersdelight:offhand_equipment, bookshelf:shields, forge:shields, forge:tools/shields, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Minecraft                        | minecraft:stone_axe                                     | Stone Axe                    | 131        | forge:axes, bookshelf:axes, forge:tools, forge:tools/axes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:stone_hoe                                     | Stone Hoe                    | 131        | forge:hoes, bookshelf:hoes, forge:tools, forge:tools/hoes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:stone_pickaxe                                 | [REMOVED] Stone Pickaxe      | 131        | forge:tools/pickaxes, bookshelf:pickaxes, forge:pickaxes, forge:tools, minecraft:cluster_max_harvestables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:stone_shovel                                  | Stone Shovel                 | 131        | bookshelf:shovels, forge:tools/shovels, forge:tools, forge:shovels                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Minecraft                        | minecraft:stone_sword                                   | Stone Sword                  | 131        | forge:swords, bookshelf:swords, forge:tools, forge:tools/swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Minecraft                        | minecraft:trident                                       | Trident                      | 250        | companion:charged_ranged_weapon, forge:tools/tridents, supplementaries:pedestal_downright, farmersdelight:flat_on_cutting_board, forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| Minecraft                        | minecraft:turtle_helmet                                 | Turtle Shell                 | 275        | forge:armors/helmets, forge:helmets, bookshelf:armor, forge:armors, forge:armor, bookshelf:helmets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Minecraft                        | minecraft:warped_fungus_on_a_stick                      | Warped Fungus on a Stick     | 100        | autumnity:snail_tempt_items                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Minecraft                        | minecraft:wooden_axe                                    | Wooden Axe                   | 59         | forge:axes, bookshelf:axes, forge:tools, forge:tools/axes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:wooden_hoe                                    | Wooden Hoe                   | 59         | forge:hoes, bookshelf:hoes, forge:tools, forge:tools/hoes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:wooden_pickaxe                                | [REMOVED] Wooden Pickaxe     | 59         | forge:tools/pickaxes, bookshelf:pickaxes, forge:pickaxes, forge:tools, minecraft:cluster_max_harvestables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Minecraft                        | minecraft:wooden_shovel                                 | Wooden Shovel                | 59         | bookshelf:shovels, forge:tools/shovels, forge:tools, forge:shovels                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Minecraft                        | minecraft:wooden_sword                                  | Wooden Sword                 | 59         | supplementaries:pedestal_upright, forge:tools/swords, supplementaries:statue_swords, bookshelf:swords, forge:tools, forge:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| Quark                            | quark:echorang                                          | Echorang                     | 2000       | forge:tools                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| Quark                            | quark:flamerang                                         | Flamarang                    | 1040       | forge:tools, minecraft:cluster_max_harvestables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Quark                            | quark:forgotten_hat                                     | Forgotten Hat                | 55         | forge:armors, forge:armors/helmets                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Quark                            | quark:pickarang                                         | Pickarang                    | 800        | forge:tools, minecraft:cluster_max_harvestables                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Savage & Ravage                  | savage_and_ravage:cleaver_of_beheading                  | Cleaver of Beheading         | 459        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Savage & Ravage                  | savage_and_ravage:conch_of_conjuring                    | Conch of Conjuring           | 375        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Savage & Ravage                  | savage_and_ravage:griefer_boots                         | Griefer Boots                | 195        | savage_and_ravage:explosion_immune, minecraft:piglin_loved                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Savage & Ravage                  | savage_and_ravage:griefer_chestplate                    | Griefer Chestplate           | 240        | savage_and_ravage:explosion_immune, minecraft:piglin_loved                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Savage & Ravage                  | savage_and_ravage:griefer_helmet                        | Griefer Helmet               | 165        | savage_and_ravage:explosion_immune, minecraft:piglin_loved                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Savage & Ravage                  | savage_and_ravage:griefer_leggings                      | Griefer Leggings             | 225        | savage_and_ravage:explosion_immune, minecraft:piglin_loved                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Savage & Ravage                  | savage_and_ravage:mask_of_dishonesty                    | Mask of Dishonesty           | 55         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Savage & Ravage                  | savage_and_ravage:wand_of_freezing                      | Wand of Freezing             | 250        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| Simply Swords                    | simplyswords:arcanethyst                                | Arcanethyst                  | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:awakened_lichblade                         | Awakened Lichblade           | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:bramblethorn                               | Bramblethorn                 | 59         | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:brimstone_claymore                         | Brimstone Claymore           | 3270       | simplyswords:swords, simplyswords:uniques, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Simply Swords                    | simplyswords:diamond_chakram                            | Diamond Chakram              | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_claymore                           | Diamond Claymore             | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_cutlass                            | Diamond Cutlass              | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_glaive                             | Diamond Glaive               | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_greataxe                           | Diamond Greataxe             | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_greathammer                        | Diamond Greathammer          | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_halberd                            | Diamond Halberd              | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_katana                             | Diamond Katana               | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_longsword                          | Diamond Longsword            | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_rapier                             | Diamond Rapier               | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_sai                                | Diamond Sai                  | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_scythe                             | Diamond Scythe               | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_spear                              | Diamond Spear                | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_twinblade                          | Diamond Twinblade            | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| Simply Swords                    | simplyswords:diamond_warglaive                          | Diamond Warglaive            | 1561       | simplyswords:swords, simplyswords:diamond_gear, c:swords                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
