"Registry name","Map color (hex)","Map color (int)"
"endlessbiomes:reaching_marula","#007C00","31744"
"endlessbiomes:reaching_vines","#007C00","31744"
"endlessbiomes:reaching_vines_end","#007C00","31744"
"endlessbiomes:red_radon_lamp","#000000","0"
"endlessbiomes:riftite","#000000","0"
"endlessbiomes:ruinous_altar","#A7A7A7","10987431"
"endlessbiomes:shattered_obsidian","#707070","7368816"
"endlessbiomes:slipgravel","#F7E9A3","16247203"
"endlessbiomes:slipstone","#707070","7368816"
"endlessbiomes:slipstone_bricks","#707070","7368816"
"endlessbiomes:slipstone_ruins_spawn_block","#707070","7368816"
"endlessbiomes:stripped_penumbra_hyphae","#8F7748","9402184"
"endlessbiomes:stripped_penumbra_stem","#8F7748","9402184"
"endlessbiomes:stripped_twisted_hyphae","#8F7748","9402184"
"endlessbiomes:stripped_twisted_stem","#8F7748","9402184"
"endlessbiomes:twisted_button","#8F7748","9402184"
"endlessbiomes:twisted_canopy","#707070","7368816"
"endlessbiomes:twisted_coral","#707070","7368816"
"endlessbiomes:twisted_door","#8F7748","9402184"
"endlessbiomes:twisted_fence","#8F7748","9402184"
"endlessbiomes:twisted_fence_gate","#8F7748","9402184"
"endlessbiomes:twisted_hyphae","#8F7748","9402184"
"endlessbiomes:twisted_moss","#334CB2","3361970"
"endlessbiomes:twisted_planks","#8F7748","9402184"
"endlessbiomes:twisted_pressure_plate","#8F7748","9402184"
"endlessbiomes:twisted_roots","#007C00","31744"
"endlessbiomes:twisted_shoal_lamp","#575C5C","5725276"
"endlessbiomes:twisted_slabs","#8F7748","9402184"
"endlessbiomes:twisted_stairs","#8F7748","9402184"
"endlessbiomes:twisted_stem","#8F7748","9402184"
"endlessbiomes:twisted_trapdoor","#8F7748","9402184"
"endlessbiomes:vwooper","#707070","7368816"
"endlessbiomes:white_radon_lamp","#000000","0"
"endlessbiomes:yellow_radon_lamp","#000000","0"
"farmersdelight:acacia_cabinet","#8F7748","9402184"
"farmersdelight:apple_pie","#000000","0"
"farmersdelight:basket","#8F7748","9402184"
"farmersdelight:beetroot_crate","#8F7748","9402184"
"farmersdelight:birch_cabinet","#8F7748","9402184"
"farmersdelight:black_canvas_sign","#8F7748","9402184"
"farmersdelight:black_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:blue_canvas_sign","#8F7748","9402184"
"farmersdelight:blue_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:brown_canvas_sign","#8F7748","9402184"
"farmersdelight:brown_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:brown_mushroom_colony","#664C33","6704179"
"farmersdelight:budding_tomatoes","#007C00","31744"
"farmersdelight:cabbage_crate","#8F7748","9402184"
"farmersdelight:cabbages","#007C00","31744"
"farmersdelight:canvas_rug","#FFFFFF","16777215"
"farmersdelight:canvas_sign","#8F7748","9402184"
"farmersdelight:canvas_wall_sign","#8F7748","9402184"
"farmersdelight:carrot_crate","#8F7748","9402184"
"farmersdelight:chocolate_pie","#000000","0"
"farmersdelight:cooking_pot","#A7A7A7","10987431"
"farmersdelight:crimson_cabinet","#8F7748","9402184"
"farmersdelight:cutting_board","#8F7748","9402184"
"farmersdelight:cyan_canvas_sign","#8F7748","9402184"
"farmersdelight:cyan_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:dark_oak_cabinet","#8F7748","9402184"
"farmersdelight:full_tatami_mat","#FFFFFF","16777215"
"farmersdelight:gray_canvas_sign","#8F7748","9402184"
"farmersdelight:gray_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:green_canvas_sign","#8F7748","9402184"
"farmersdelight:green_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:half_tatami_mat","#FFFFFF","16777215"
"farmersdelight:honey_glazed_ham_block","#FFFFFF","16777215"
"farmersdelight:jungle_cabinet","#8F7748","9402184"
"farmersdelight:light_blue_canvas_sign","#8F7748","9402184"
"farmersdelight:light_blue_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:light_gray_canvas_sign","#8F7748","9402184"
"farmersdelight:light_gray_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:lime_canvas_sign","#8F7748","9402184"
"farmersdelight:lime_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:magenta_canvas_sign","#8F7748","9402184"
"farmersdelight:magenta_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:mangrove_cabinet","#8F7748","9402184"
"farmersdelight:oak_cabinet","#8F7748","9402184"
"farmersdelight:onion_crate","#8F7748","9402184"
"farmersdelight:onions","#007C00","31744"
"farmersdelight:orange_canvas_sign","#8F7748","9402184"
"farmersdelight:orange_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:organic_compost","#976D4D","9923917"
"farmersdelight:pink_canvas_sign","#8F7748","9402184"
"farmersdelight:pink_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:potato_crate","#8F7748","9402184"
"farmersdelight:purple_canvas_sign","#8F7748","9402184"
"farmersdelight:purple_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:red_canvas_sign","#8F7748","9402184"
"farmersdelight:red_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:red_mushroom_colony","#993333","10040115"
"farmersdelight:rice","#007C00","31744"
"farmersdelight:rice_bag","#FFFFFF","16777215"
"farmersdelight:rice_bale","#E5E533","15066419"
"farmersdelight:rice_panicles","#007C00","31744"
"farmersdelight:rice_roll_medley_block","#000000","0"
"farmersdelight:rich_soil","#976D4D","9923917"
"farmersdelight:rich_soil_farmland","#976D4D","9923917"
"farmersdelight:roast_chicken_block","#FFFFFF","16777215"
"farmersdelight:rope","#C7C7C7","13092807"
"farmersdelight:safety_net","#C7C7C7","13092807"
"farmersdelight:sandy_shrub","#007C00","31744"
"farmersdelight:shepherds_pie_block","#000000","0"
"farmersdelight:skillet","#A7A7A7","10987431"
"farmersdelight:spruce_cabinet","#8F7748","9402184"
"farmersdelight:stove","#993333","10040115"
"farmersdelight:straw_bale","#E5E533","15066419"
"farmersdelight:stuffed_pumpkin_block","#D87F33","14188339"
"farmersdelight:sweet_berry_cheesecake","#000000","0"
"farmersdelight:tatami","#FFFFFF","16777215"
"farmersdelight:tomato_crate","#8F7748","9402184"
"farmersdelight:tomatoes","#007C00","31744"
"farmersdelight:warped_cabinet","#8F7748","9402184"
"farmersdelight:white_canvas_sign","#8F7748","9402184"
"farmersdelight:white_canvas_wall_sign","#8F7748","9402184"
"farmersdelight:wild_beetroots","#007C00","31744"
"farmersdelight:wild_cabbages","#007C00","31744"
"farmersdelight:wild_carrots","#007C00","31744"
"farmersdelight:wild_onions","#007C00","31744"
"farmersdelight:wild_potatoes","#007C00","31744"
"farmersdelight:wild_rice","#007C00","31744"
"farmersdelight:wild_tomatoes","#007C00","31744"
"farmersdelight:yellow_canvas_sign","#8F7748","9402184"
"farmersdelight:yellow_canvas_wall_sign","#8F7748","9402184"
"ftbquests:aux_task_screen","#191919","1644825"
"ftbquests:barrier","#6699D8","6724056"
"ftbquests:detector","#707070","7368816"
"ftbquests:loot_crate_opener","#8F7748","9402184"
"ftbquests:screen_1","#191919","1644825"
"ftbquests:screen_3","#191919","1644825"
"ftbquests:screen_5","#191919","1644825"
"ftbquests:screen_7","#191919","1644825"
"ftbquests:stage_barrier","#6699D8","6724056"
"gothic:beliar_statue","#707070","7368816"
"gothic:black_mushroom","#007C00","31744"
"gothic:block_of_magic_ore","#707070","7368816"
"gothic:blue_elder_seeds","#007C00","31744"
"gothic:blue_elder_stage_1","#007C00","31744"
"gothic:blue_elder_stage_2","#007C00","31744"
"gothic:blue_elder_stage_3","#007C00","31744"
"gothic:blue_elder_stage_4","#007C00","31744"
"gothic:blue_elder_wild","#007C00","31744"
"gothic:burglar_table","#8F7748","9402184"
"gothic:cave_mushrooms","#007C00","31744"
"gothic:dragon_root_wild","#007C00","31744"
"gothic:farmer_table","#8F7748","9402184"
"gothic:fear_stone_block","#707070","7368816"
"gothic:giant_river_flowers","#007C00","31744"
"gothic:giant_river_plant","#007C00","31744"
"gothic:goblin_berry_wild","#007C00","31744"
"gothic:guardian_table","#8F7748","9402184"
"gothic:hunter_head","#A7A7A7","10987431"
"gothic:ice_wolf_fur","#C7C7C7","13092807"
"gothic:ice_wolf_fur_carpet","#C7C7C7","13092807"
"gothic:ice_wolf_pelt","#C7C7C7","13092807"
"gothic:ice_wolf_trophy","#8F7748","9402184"
"gothic:innos_statue","#707070","7368816"
"gothic:jarkendar_stone","#707070","7368816"
"gothic:jarkendar_stone_brick_chiseled","#707070","7368816"
"gothic:jarkendar_stone_brick_slab","#707070","7368816"
"gothic:jarkendar_stone_brick_stairs","#707070","7368816"
"gothic:jarkendar_stone_brick_wall","#707070","7368816"
"gothic:jarkendar_stone_bricks","#707070","7368816"
"gothic:jarkendar_stone_chiseled","#707070","7368816"
"gothic:jarkendar_stone_slab","#707070","7368816"
"gothic:jarkendar_stone_stairs","#707070","7368816"
"gothic:jarkendar_stone_wall","#707070","7368816"
"gothic:kings_sorrel_seeds","#007C00","31744"
"gothic:kings_sorrel_stage_1","#007C00","31744"
"gothic:kings_sorrel_stage_2","#007C00","31744"
"gothic:kings_sorrel_stage_3","#007C00","31744"
"gothic:kings_sorrel_stage_4","#007C00","31744"
"gothic:kings_sorrel_wild","#007C00","31744"
"gothic:leather_purse","#C7C7C7","13092807"
"gothic:lurker_skin","#C7C7C7","13092807"
"gothic:magic_ore","#707070","7368816"
"gothic:magic_ore_deepslate","#707070","7368816"
"gothic:magic_ore_nugget","#707070","7368816"
"gothic:magic_ore_pile","#707070","7368816"
"gothic:magic_ore_stone","#707070","7368816"
"gothic:meadow_knotweed_seeds","#007C00","31744"
"gothic:meadow_knotweed_stage_1","#007C00","31744"
"gothic:meadow_knotweed_stage_2","#007C00","31744"
"gothic:meadow_knotweed_stage_3","#007C00","31744"
"gothic:meadow_knotweed_stage_4","#007C00","31744"
"gothic:meadow_knotweed_wild","#007C00","31744"
"gothic:miners_food_wild","#007C00","31744"
"gothic:ore_lantern","#707070","7368816"
"gothic:ornament_part","#707070","7368816"
"gothic:paladin_table","#8F7748","9402184"
"gothic:polished_jarkendar_stone","#707070","7368816"
"gothic:polished_jarkendar_stone_chiseled","#707070","7368816"
"gothic:polished_jarkendar_stone_slab","#707070","7368816"
"gothic:polished_jarkendar_stone_stairs","#707070","7368816"
"gothic:polished_jarkendar_stone_wall","#707070","7368816"
"gothic:river_plant","#007C00","31744"
"gothic:scavenger_eggs","#707070","7368816"
"gothic:scavenger_grilled","#8F7748","9402184"
"gothic:scavenger_hanging","#8F7748","9402184"
"gothic:shadowbeast_fur","#C7C7C7","13092807"
"gothic:shadowbeast_fur_carpet","#C7C7C7","13092807"
"gothic:shadowbeast_pelt","#C7C7C7","13092807"
"gothic:shadowbeast_trophy","#8F7748","9402184"
"gothic:snapperweed_seeds","#007C00","31744"
"gothic:snapperweed_stage_1","#007C00","31744"
"gothic:snapperweed_stage_2","#007C00","31744"
"gothic:snapperweed_stage_3","#007C00","31744"
"gothic:snapperweed_stage_4","#007C00","31744"
"gothic:snapperweed_wild","#007C00","31744"
"gothic:stone_bowl","#707070","7368816"
"gothic:suspicious_grass","#007C00","31744"
"gothic:swampweed_seeds","#007C00","31744"
"gothic:swampweed_stage_1","#007C00","31744"
"gothic:swampweed_stage_2","#007C00","31744"
"gothic:swampweed_stage_3","#007C00","31744"
"gothic:swampweed_stage_4","#007C00","31744"
"gothic:swampweed_wild","#007C00","31744"
"gothic:tall_mushrooms","#007C00","31744"
"gothic:turnip_seeds","#007C00","31744"
"gothic:turnip_stage_1","#007C00","31744"
"gothic:turnip_stage_2","#007C00","31744"
"gothic:turnip_stage_3","#007C00","31744"
"gothic:turnip_stage_4","#007C00","31744"
"gothic:warg_fur","#C7C7C7","13092807"
"gothic:warg_fur_carpet","#C7C7C7","13092807"
"gothic:warg_pelt","#C7C7C7","13092807"
"gothic:warg_trophy","#8F7748","9402184"
"gothic:waterpipe","#A7A7A7","10987431"
"gothic:wolf_fur","#C7C7C7","13092807"
"gothic:wolf_fur_carpet","#C7C7C7","13092807"
"gothic:wolf_pelt","#C7C7C7","13092807"
"gothic:wolf_trophy","#8F7748","9402184"
"gravestone:gravestone","#976D4D","9923917"
"infernalexp:basalt_brick_slab","#191919","1644825"
"infernalexp:basalt_brick_stairs","#191919","1644825"
"infernalexp:basalt_brick_vertical_slab","#191919","1644825"
"infernalexp:basalt_brick_wall","#191919","1644825"
"infernalexp:basalt_bricks","#191919","1644825"
"infernalexp:basalt_button","#191919","1644825"
"infernalexp:basalt_cobbled","#707070","7368816"
"infernalexp:basalt_cobbled_slab","#707070","7368816"
"infernalexp:basalt_cobbled_vertical_slab","#707070","7368816"
"infernalexp:basalt_iron_ore","#700200","7340544"
"infernalexp:basalt_slab","#191919","1644825"
"infernalexp:basalt_stairs","#191919","1644825"
"infernalexp:basalt_vertical_slab","#191919","1644825"
"infernalexp:basalt_wall","#191919","1644825"
"infernalexp:basaltic_magma","#700200","7340544"
"infernalexp:buried_bone","#007C00","31744"
"infernalexp:charged_chiseled_soul_slate_bricks","#707070","7368816"
"infernalexp:charged_chiseled_soul_stone_bricks","#707070","7368816"
"infernalexp:chiseled_basalt_bricks","#191919","1644825"
"infernalexp:chiseled_dimstone_bricks","#000000","0"
"infernalexp:chiseled_dullstone_bricks","#000000","0"
"infernalexp:chiseled_glowdust_stone_bricks","#F7E9A3","16247203"
"infernalexp:chiseled_glowstone_bricks","#000000","0"
"infernalexp:chiseled_soul_slate_bricks","#707070","7368816"
"infernalexp:chiseled_soul_stone_bricks","#707070","7368816"
"infernalexp:cracked_basalt_bricks","#191919","1644825"
"infernalexp:cracked_dimstone_bricks","#000000","0"
"infernalexp:cracked_dullstone_bricks","#000000","0"
"infernalexp:cracked_glowdust_stone_bricks","#F7E9A3","16247203"
"infernalexp:cracked_glowstone_bricks","#000000","0"
"infernalexp:cracked_soul_slate_bricks","#707070","7368816"
"infernalexp:cracked_soul_stone_bricks","#707070","7368816"
"infernalexp:crimson_fungus_cap","#993333","10040115"
"infernalexp:crimson_nylium_carpet","#BD3031","12398641"
"infernalexp:crimson_nylium_path","#700200","7340544"
"infernalexp:crumbling_blackstone","#700200","7340544"
"infernalexp:dimstone","#000000","0"
"infernalexp:dimstone_brick_slab","#000000","0"
"infernalexp:dimstone_brick_stairs","#000000","0"
"infernalexp:dimstone_brick_vertical_slab","#000000","0"
"infernalexp:dimstone_brick_wall","#000000","0"
"infernalexp:dimstone_bricks","#000000","0"
"infernalexp:dullstone","#000000","0"
"infernalexp:dullstone_brick_slab","#000000","0"
"infernalexp:dullstone_brick_stairs","#000000","0"
"infernalexp:dullstone_brick_vertical_slab","#000000","0"
"infernalexp:dullstone_brick_wall","#000000","0"
"infernalexp:dullstone_bricks","#000000","0"
"infernalexp:dullthorns","#007C00","31744"
"infernalexp:dullthorns_block","#007C00","31744"
"infernalexp:glow_campfire","#815631","8476209"
"infernalexp:glow_fire","#FF0000","16711680"
"infernalexp:glow_glass","#000000","0"
"infernalexp:glow_glass_pane","#000000","0"
"infernalexp:glow_lantern","#A7A7A7","10987431"
"infernalexp:glow_torch","#000000","0"
"infernalexp:glow_torch_wall","#000000","0"
"infernalexp:glowdust","#F7E9A3","16247203"
"infernalexp:glowdust_sand","#F7E9A3","16247203"
"infernalexp:glowdust_stone","#F7E9A3","16247203"
"infernalexp:glowdust_stone_brick_slab","#F7E9A3","16247203"
"infernalexp:glowdust_stone_brick_stairs","#F7E9A3","16247203"
"infernalexp:glowdust_stone_brick_vertical_slab","#F7E9A3","16247203"
"infernalexp:glowdust_stone_brick_wall","#F7E9A3","16247203"
"infernalexp:glowdust_stone_bricks","#F7E9A3","16247203"
"infernalexp:glowdust_stone_slab","#F7E9A3","16247203"
"infernalexp:glowdust_stone_stairs","#F7E9A3","16247203"
"infernalexp:glowdust_stone_vertical_slab","#F7E9A3","16247203"
"infernalexp:glowdust_stone_wall","#F7E9A3","16247203"
"infernalexp:glowsilk_cocoon","#7FB238","8368696"
"infernalexp:glowstone_brick_slab","#000000","0"
"infernalexp:glowstone_brick_stairs","#000000","0"
"infernalexp:glowstone_brick_vertical_slab","#000000","0"
"infernalexp:glowstone_brick_wall","#000000","0"
"infernalexp:glowstone_bricks","#000000","0"
"infernalexp:luminous_fungus","#007C00","31744"
"infernalexp:luminous_fungus_cap","#993333","10040115"
"infernalexp:luminous_hyphae","#5C191D","6035741"
"infernalexp:luminous_stem","#943F61","9715553"
"infernalexp:luminous_wart_block","#993333","10040115"
"infernalexp:magmatic_chiseled_basalt_bricks","#191919","1644825"
"infernalexp:planted_quartz","#707070","7368816"
"infernalexp:polished_basalt_pressure_plate","#191919","1644825"
"infernalexp:polished_basalt_slab","#191919","1644825"
"infernalexp:polished_basalt_tiles","#191919","1644825"
"infernalexp:polished_basalt_tiles_slab","#191919","1644825"
"infernalexp:polished_basalt_tiles_vertical_slab","#191919","1644825"
"infernalexp:polished_basalt_vertical_slab","#191919","1644825"
"infernalexp:potted_buried_bone","#000000","0"
"infernalexp:potted_dullthorns","#000000","0"
"infernalexp:potted_luminous_fungus","#000000","0"
"infernalexp:potted_shroomlight_fungus","#000000","0"
"infernalexp:quartz_glass","#000000","0"
"infernalexp:quartz_glass_pane","#000000","0"
"infernalexp:rubble","#707070","7368816"
"infernalexp:shroomlight_fungus","#007C00","31744"
"infernalexp:silt","#F7E9A3","16247203"
"infernalexp:smooth_dimstone","#000000","0"
"infernalexp:smooth_dimstone_button","#000000","0"
"infernalexp:smooth_dimstone_slab","#000000","0"
"infernalexp:smooth_dimstone_stairs","#000000","0"
"infernalexp:smooth_dimstone_vertical_slab","#000000","0"
"infernalexp:smooth_dullstone","#000000","0"
"infernalexp:smooth_dullstone_button","#000000","0"
"infernalexp:smooth_dullstone_slab","#000000","0"
"infernalexp:smooth_dullstone_stairs","#000000","0"
"infernalexp:smooth_dullstone_vertical_slab","#000000","0"
"infernalexp:smooth_glowstone","#000000","0"
"infernalexp:smooth_glowstone_button","#000000","0"
"infernalexp:smooth_glowstone_pressure_plate","#000000","0"
"infernalexp:smooth_glowstone_slab","#000000","0"
"infernalexp:smooth_glowstone_stairs","#000000","0"
"infernalexp:smooth_glowstone_vertical_slab","#000000","0"
"infernalexp:soul_sand_slab","#664C33","6704179"
"infernalexp:soul_sand_stairs","#664C33","6704179"
"infernalexp:soul_sand_vertical_slab","#664C33","6704179"
"infernalexp:soul_slate","#707070","7368816"
"infernalexp:soul_slate_brick_slab","#707070","7368816"
"infernalexp:soul_slate_brick_stairs","#707070","7368816"
"infernalexp:soul_slate_brick_vertical_slab","#707070","7368816"
"infernalexp:soul_slate_brick_wall","#707070","7368816"
"infernalexp:soul_slate_bricks","#707070","7368816"
"infernalexp:soul_slate_button","#707070","7368816"
"infernalexp:soul_slate_pressure_plate","#707070","7368816"
"infernalexp:soul_slate_slab","#707070","7368816"
"infernalexp:soul_slate_stairs","#707070","7368816"
"infernalexp:soul_slate_vertical_slab","#707070","7368816"
"infernalexp:soul_soil_path","#664C33","6704179"
"infernalexp:soul_soil_slab","#664C33","6704179"
"infernalexp:soul_soil_stairs","#664C33","6704179"
"infernalexp:soul_soil_vertical_slab","#664C33","6704179"
"infernalexp:soul_stone","#707070","7368816"
"infernalexp:soul_stone_brick_slab","#707070","7368816"
"infernalexp:soul_stone_brick_stairs","#707070","7368816"
"infernalexp:soul_stone_brick_vertical_slab","#707070","7368816"
"infernalexp:soul_stone_brick_wall","#707070","7368816"
"infernalexp:soul_stone_bricks","#707070","7368816"
"infernalexp:soul_stone_slab","#707070","7368816"
"infernalexp:soul_stone_stairs","#664C33","6704179"
"infernalexp:soul_stone_vertical_slab","#707070","7368816"
"infernalexp:soul_stone_wall","#707070","7368816"
"infernalexp:stripped_luminous_hyphae","#5C191D","6035741"
"infernalexp:stripped_luminous_stem","#943F61","9715553"
"infernalexp:trapped_glowdust_sand","#F7E9A3","16247203"
"infernalexp:warped_fungus_cap","#14B485","1356933"
"infernalexp:warped_nylium_carpet","#167E86","1474182"
"infernalexp:warped_nylium_path","#700200","7340544"
"ironchest:copper_chest","#A7A7A7","10987431"
"ironchest:crystal_chest","#A7A7A7","10987431"
"ironchest:diamond_chest","#A7A7A7","10987431"
"ironchest:dirt_chest","#A7A7A7","10987431"
"ironchest:gold_chest","#A7A7A7","10987431"
"ironchest:iron_chest","#A7A7A7","10987431"
"ironchest:obsidian_chest","#A7A7A7","10987431"
"ironchest:trapped_copper_chest","#A7A7A7","10987431"
"ironchest:trapped_crystal_chest","#A7A7A7","10987431"
"ironchest:trapped_diamond_chest","#A7A7A7","10987431"
"ironchest:trapped_dirt_chest","#A7A7A7","10987431"
"ironchest:trapped_gold_chest","#A7A7A7","10987431"
"ironchest:trapped_iron_chest","#A7A7A7","10987431"
"ironchest:trapped_obsidian_chest","#A7A7A7","10987431"
"kaisascore:basalt_bricks","#191919","1644825"
"kaisascore:deepslate_platinum_ore","#707070","7368816"
"kaisascore:deepslate_pyrite_ore","#707070","7368816"
"kaisascore:deepslate_titanium_ore","#707070","7368816"
"kaisascore:dirt_redstone_ore","#976D4D","9923917"
"kaisascore:liquified_coal_block","#FF0000","16711680"
"kaisascore:marble","#FFFCF5","16776437"
"kaisascore:marble_bricks","#FFFCF5","16776437"
"kaisascore:marble_pillar","#FFFCF5","16776437"
"kaisascore:molten_titanium_block","#FF0000","16711680"
"kaisascore:nether_pyrite_ore","#707070","7368816"
"kaisascore:platinum_block","#A7A7A7","10987431"
"kaisascore:platinum_ore","#707070","7368816"
"kaisascore:polished_basalt","#191919","1644825"
"kaisascore:polished_marble","#FFFCF5","16776437"
"kaisascore:pyrite_ore","#707070","7368816"
"kaisascore:raw_platinum_block","#A7A7A7","10987431"
"kaisascore:raw_titanium_block","#A7A7A7","10987431"
"kaisascore:sand_gold_ore","#F7E9A3","16247203"
"kaisascore:sand_pyrite_ore","#F7E9A3","16247203"
"kaisascore:steel_block","#A7A7A7","10987431"
"kaisascore:titanium_block","#A7A7A7","10987431"
"kaisascore:titanium_ore","#707070","7368816"
"lootr:lootr_barrel","#8F7748","9402184"
"lootr:lootr_chest","#8F7748","9402184"
"lootr:lootr_inventory","#8F7748","9402184"
"lootr:lootr_shulker","#7F3FB2","8339378"
"lootr:lootr_trapped_chest","#8F7748","9402184"
"lootr:trophy","#A7A7A7","10987431"
"mace_port:heavy_core","#A7A7A7","10987431"
"mimic:mimic_lock","#707070","7368816"
"minecraft:acacia_button","#000000","0"
"minecraft:acacia_door","#D87F33","14188339"
"minecraft:acacia_fence","#D87F33","14188339"
"minecraft:acacia_fence_gate","#D87F33","14188339"
"minecraft:acacia_leaves","#007C00","31744"
"minecraft:acacia_log","#D87F33","14188339"
"minecraft:acacia_planks","#D87F33","14188339"
"minecraft:acacia_pressure_plate","#D87F33","14188339"
"minecraft:acacia_sapling","#007C00","31744"
"minecraft:acacia_sign","#D87F33","14188339"
"minecraft:acacia_slab","#D87F33","14188339"
"minecraft:acacia_stairs","#D87F33","14188339"
"minecraft:acacia_trapdoor","#D87F33","14188339"
"minecraft:acacia_wall_sign","#D87F33","14188339"
"minecraft:acacia_wood","#4C4C4C","5000268"
"minecraft:activator_rail","#000000","0"
"minecraft:air","#000000","0"
"minecraft:allium","#007C00","31744"
"minecraft:amethyst_block","#7F3FB2","8339378"
"minecraft:amethyst_cluster","#7F3FB2","8339378"
"minecraft:ancient_debris","#191919","1644825"
"minecraft:andesite","#707070","7368816"
"minecraft:andesite_slab","#707070","7368816"
"minecraft:andesite_stairs","#707070","7368816"
"minecraft:andesite_wall","#707070","7368816"
"minecraft:anvil","#A7A7A7","10987431"
"minecraft:attached_melon_stem","#007C00","31744"
"minecraft:attached_pumpkin_stem","#007C00","31744"
"minecraft:azalea","#007C00","31744"
"minecraft:azalea_leaves","#007C00","31744"
"minecraft:azure_bluet","#007C00","31744"
"minecraft:bamboo","#007C00","31744"
"minecraft:bamboo_sapling","#8F7748","9402184"
"minecraft:barrel","#8F7748","9402184"
"minecraft:barrier","#000000","0"
"minecraft:basalt","#191919","1644825"
"minecraft:beacon","#5CDBD5","6085589"
"minecraft:bedrock","#707070","7368816"
"minecraft:bee_nest","#E5E533","15066419"
"minecraft:beehive","#8F7748","9402184"
"minecraft:beetroots","#007C00","31744"
"minecraft:bell","#FAEE4D","16445005"
"minecraft:big_dripleaf","#007C00","31744"
"minecraft:big_dripleaf_stem","#007C00","31744"
"minecraft:birch_button","#000000","0"
"minecraft:birch_door","#F7E9A3","16247203"
"minecraft:birch_fence","#F7E9A3","16247203"
"minecraft:birch_fence_gate","#F7E9A3","16247203"
"minecraft:birch_leaves","#007C00","31744"
"minecraft:birch_log","#F7E9A3","16247203"
"minecraft:birch_planks","#F7E9A3","16247203"
"minecraft:birch_pressure_plate","#F7E9A3","16247203"
"minecraft:birch_sapling","#007C00","31744"
"minecraft:birch_sign","#F7E9A3","16247203"
"minecraft:birch_slab","#F7E9A3","16247203"
"minecraft:birch_stairs","#F7E9A3","16247203"
"minecraft:birch_trapdoor","#F7E9A3","16247203"
"minecraft:birch_wall_sign","#F7E9A3","16247203"
"minecraft:birch_wood","#F7E9A3","16247203"
"minecraft:black_banner","#8F7748","9402184"
"minecraft:black_bed","#191919","1644825"
"minecraft:black_candle","#191919","1644825"
"minecraft:black_candle_cake","#000000","0"
"minecraft:black_carpet","#191919","1644825"
"minecraft:black_concrete","#191919","1644825"
"minecraft:black_concrete_powder","#191919","1644825"
"minecraft:black_glazed_terracotta","#191919","1644825"
"minecraft:black_shulker_box","#191919","1644825"
"minecraft:black_stained_glass","#191919","1644825"
"minecraft:black_stained_glass_pane","#000000","0"
"minecraft:black_terracotta","#251610","2430480"
"minecraft:black_wall_banner","#8F7748","9402184"
"minecraft:black_wool","#191919","1644825"
"minecraft:blackstone","#191919","1644825"
"minecraft:blackstone_slab","#191919","1644825"
"minecraft:blackstone_stairs","#191919","1644825"
"minecraft:blackstone_wall","#191919","1644825"
"minecraft:blast_furnace","#707070","7368816"
"minecraft:blue_banner","#8F7748","9402184"
"minecraft:blue_bed","#334CB2","3361970"
"minecraft:blue_candle","#334CB2","3361970"
"minecraft:blue_candle_cake","#000000","0"
"minecraft:blue_carpet","#334CB2","3361970"
"minecraft:blue_concrete","#334CB2","3361970"
"minecraft:blue_concrete_powder","#334CB2","3361970"
"minecraft:blue_glazed_terracotta","#334CB2","3361970"
"minecraft:blue_ice","#A0A0FF","10526975"
"minecraft:blue_orchid","#007C00","31744"
"minecraft:blue_shulker_box","#334CB2","3361970"
"minecraft:blue_stained_glass","#334CB2","3361970"
"minecraft:blue_stained_glass_pane","#000000","0"
"minecraft:blue_terracotta","#4C3E5C","4996700"
"minecraft:blue_wall_banner","#8F7748","9402184"
"minecraft:blue_wool","#334CB2","3361970"
"minecraft:bone_block","#F7E9A3","16247203"
"minecraft:bookshelf","#8F7748","9402184"
"minecraft:brain_coral","#F27FA5","15892389"
"minecraft:brain_coral_block","#F27FA5","15892389"
"minecraft:brain_coral_fan","#F27FA5","15892389"
"minecraft:brain_coral_wall_fan","#F27FA5","15892389"
"minecraft:brewing_stand","#A7A7A7","10987431"
"minecraft:brick_slab","#993333","10040115"
"minecraft:brick_stairs","#993333","10040115"
"minecraft:brick_wall","#993333","10040115"
"minecraft:bricks","#993333","10040115"
"minecraft:brown_banner","#8F7748","9402184"
"minecraft:brown_bed","#664C33","6704179"
"minecraft:brown_candle","#664C33","6704179"
"minecraft:brown_candle_cake","#000000","0"
"minecraft:brown_carpet","#664C33","6704179"
"minecraft:brown_concrete","#664C33","6704179"
"minecraft:brown_concrete_powder","#664C33","6704179"
"minecraft:brown_glazed_terracotta","#664C33","6704179"
"minecraft:brown_mushroom","#664C33","6704179"
