+------------------------------------------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------+
| ID                                                         | Name                                            | Description                                                                                                                      | Parent                                           |
| quark:get_own_head                                         | [Getting Ahead]                                 | Get your own player head from a named Snow Golem killed by a Witch                                                               | minecraft:adventure/kill_a_mob                   |
| quark:influence                                            | [Influencer]                                    | Use Candles in Matrix Enchanting to influence a specific enchantment                                                             | minecraft:story/enchant_item                     |
| quark:instamine_deepslate                                  | [Instant Limit Breaker]                         | Mine Deepslate instantly using Efficiency VI and Haste II                                                                        | quark:overlevel_enchant                          |
| quark:make_stoneling                                       | [Young Dreamer]                                 | Give a Stoneling a new body by using its Heart of Diamond on any stone                                                           | quark:get_diamond_heart                          |
| quark:mine_fed_toretoise                                   | [We're Rich!]                                   | Mine a Toretoise after it regrows its ore from eating Glow Berries                                                               | quark:mine_toretoise                             |
| quark:mine_toretoise                                       | [Mine Turtle!]                                  | Mine a wild Toretoise with a Pickaxe                                                                                             | minecraft:husbandry/root                         |
| quark:overlevel_enchant                                    | [Limit Breaker]                                 | Overlevel an enchantment with Ancient Tomes                                                                                      | minecraft:story/enchant_item                     |
| quark:pat_potato                                           | [Potato, Potato]                                | Pet a Tiny Potato                                                                                                                | minecraft:husbandry/plant_seed                   |
| quark:pathfinder_map_center                                | [Road to Tomorrow]                              | Get to the X in a Pathfinder Map                                                                                                 | minecraft:adventure/trade                        |
| quark:poison_baby                                          | [Forever Young]                                 | Successfully poison a baby animal with a Poisoned Potato                                                                         | minecraft:husbandry/breed_an_animal              |
| quark:redirect_beacon                                      | [See The Lights]                                | Redirect a Beacon beam's direction using Clusters                                                                                | minecraft:nether/create_beacon                   |
| quark:retreive_flamerang                                   | [Fly to the Sky, Fire Bird]                     | Throw a Flamerang and get it back while it's carrying an item on fire                                                            | quark:throw_pickarang                            |
| quark:shiba_help                                           | [Paint The Town]                                | Clean up a dark spot with the help of a Shiba while holding a Torch                                                              | minecraft:husbandry/tame_an_animal               |
| quark:tame_foxhound                                        | [Playing With Fire]                             | Tame a Foxhound by feeding it Coal while under Fire Resistance                                                                   | minecraft:nether/brew_potion                     |
| quark:throw_parrot_egg                                     | [Just the Parrots]                              | Feed Beetroot Seeds to a Parrot and toss the egg it lays                                                                         | minecraft:husbandry/breed_an_animal              |
| quark:throw_pickarang                                      | [Somehow, Pickarang Returned]                   | Throw a Pickarang                                                                                                                | minecraft:story/mine_diamond                     |
| quark:use_viaduct                                          | [Chase Me]                                      | Toss an Ender Pearl to the tip of a line of Myalite Crystals to travel through them                                              | minecraft:end/enter_end_gateway                  |
| quark:watcher_center                                       | [Who Watches the Watcher?]                      | Look at the center of an Ender Watcher                                                                                           | minecraft:nether/obtain_blaze_rod                |
| quark:wear_full_rainbow                                    | [Taste the Rainbow]                             | Wear a full set of armor with Rainbow Runes applied                                                                              | quark:apply_color_rune                           |
| savage_and_ravage:adventure/creeper_spores                 | [Creepie Crawly]                                | Obtain Creeper Spores by killing a Creeper with an explosion                                                                     | minecraft:adventure/kill_a_mob                   |
| savage_and_ravage:adventure/griefer_armor                  | [Dynamite with a Laser Beam]                    | Collect a full set of Griefer armor                                                                                              | savage_and_ravage:adventure/creeper_spores       |
| savage_and_ravage:adventure/mask_of_dishonesty             | [A Little Tricking]                             | Obtain a Mask of Dishonesty by killing a Trickster                                                                               | minecraft:adventure/kill_a_mob                   |
| savage_and_ravage:adventure/relic_collector                | [Relic Collector]                               | Obtain all magical Illager relics                                                                                                | minecraft:adventure/totem_of_undying             |
| simplyswords:arcanethyst                                   | [Arcane Empowerment]                            | Find the unique weapon Arcanethyst.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:bramblethorn                                  | [Spore Galore]                                  | Find the unique weapon Bramblethorn.                                                                                             | simplyswords:runic_weapon                        |
| simplyswords:brimstone                                     | [Blast Protection Not Included]                 | Find the unique weapon Brimstone Claymore.                                                                                       | simplyswords:runic_weapon                        |
| simplyswords:dormant_relic                                 | [Batteries Not Included]                        | Obtain the Dormant Relic.                                                                                                        | simplyswords:runic_weapon                        |
| simplyswords:emberblade                                    | [The Ire in Fire]                               | Find the unique weapon Emberblade.                                                                                               | simplyswords:runic_weapon                        |
| simplyswords:frostfall                                     | [Ice Cubed]                                     | Find the unique weapon Frostfall.                                                                                                | simplyswords:runic_weapon                        |
| simplyswords:harbinger                                     | [From The Abyss]                                | Obtain the unique weapon Harbinger.                                                                                              | simplyswords:dormant_relic                       |
| simplyswords:hearthflame                                   | [Forged in Flames]                              | Find the unique weapon Hearthflame.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:icewhisper                                    | [Listen Close]                                  | Find the unique weapon Icewhisper.                                                                                               | simplyswords:runic_weapon                        |
| simplyswords:livyatan                                      | [Walking on Thin Ice]                           | Find the unique weapon Livyatan.                                                                                                 | simplyswords:runic_weapon                        |
| simplyswords:longsword_plague                              | [Maybe Don't Touch it]                          | Find the unique weapon Longsword of the Plague.                                                                                  | simplyswords:runic_weapon                        |
| simplyswords:mjolnir                                       | [It Comes Back, Right?]                         | Find the unique weapon Mjolnir.                                                                                                  | simplyswords:runic_weapon                        |
| simplyswords:molten_edge                                   | [Not Too Hot to Handle]                         | Find the unique weapon Molten Edge.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:runic_weapon                                  | [Rune Etching]                                  | Obtain a runic weapon.                                                                                                           | simplyswords:simplyswords                        |
| simplyswords:shadowsting                                   | [From The Shadows]                              | Find the unique weapon Shadowsting.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:simplyswords                                  | [Simply Swords]                                 | Runic powers await you.                                                                                                          | -                                                |
| simplyswords:slumbering_lichblade                          | [Wake Up!]                                      | Obtain the Slumbering Lichblade.                                                                                                 | simplyswords:runic_weapon                        |
| simplyswords:soulkeeper                                    | [Keeper of Souls]                               | Find the unique weapon Soulkeeper.                                                                                               | simplyswords:runic_weapon                        |
| simplyswords:soulpyre                                      | [Burner of Souls]                               | Find the unique weapon Soul Pyre.                                                                                                | simplyswords:runic_weapon                        |
| simplyswords:soulrender                                    | [Render of Souls]                               | Find the unique weapon Soulrender.                                                                                               | simplyswords:runic_weapon                        |
| simplyswords:soulstealer                                   | [Stealer of Souls]                              | Find the unique weapon Soulstealer.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:stormbringer                                  | [Bringer of Storms]                             | Find the unique weapon Stormbringer.                                                                                             | simplyswords:runic_weapon                        |
| simplyswords:storms_edge                                   | [Lightning Strikes Twice]                       | Find the unique weapon Storm's Edge.                                                                                             | simplyswords:runic_weapon                        |
| simplyswords:sunfire                                       | [Sanctified]                                    | Obtain the unique weapon Sunfire.                                                                                                | simplyswords:dormant_relic                       |
| simplyswords:sword_on_a_stick                              | [Engineering Marvel]                            | Obtain the unique weapon Sword on a Stick.                                                                                       | simplyswords:runic_weapon                        |
| simplyswords:the_watcher                                   | [Always Watching]                               | Find the unique weapon The Watcher.                                                                                              | simplyswords:runic_weapon                        |
| simplyswords:thunderbrand                                  | [Thunder Time]                                  | Find the unique weapon Thunderbrand.                                                                                             | simplyswords:runic_weapon                        |
| simplyswords:twisted_blade                                 | [Getting it Twisted]                            | Find the unique weapon Twisted Blade.                                                                                            | simplyswords:runic_weapon                        |
| simplyswords:watching_warglaive                            | [Eyes Open]                                     | Find the unique weapon Watching Warglaive.                                                                                       | simplyswords:runic_weapon                        |
| supplementaries:adventure/globe                            | [You Spin Me Right Round Baby]                  | Spin a globe at ludicrous speed                                                                                                  | minecraft:adventure/trade                        |
| supplementaries:adventure/way_sign                         | [This Must be a Sign!]                          | Follow me to find a village                                                                                                      | minecraft:adventure/root                         |
| supplementaries:husbandry/soap                             | [Tide Pod Challenge]                            | Eat a bar of soap. Don't try this at home                                                                                        | minecraft:husbandry/root                         |
| supplementaries:husbandry/sus_stew                         | [When the Stew is Sus]                          | Drink a suspicious stew                                                                                                          | minecraft:husbandry/plant_seed                   |
| supplementaries:husbandry/turn_table                       | [How the Turn Tables]                           | Use a Turn Table to rotate yourself                                                                                              | minecraft:husbandry/root                         |
| supplementaries:husbandry/wrench                           | [Engineer Gaming]                               | Use a Wrench to rotate a block                                                                                                   | minecraft:husbandry/root                         |
| supplementaries:nether/goblet                              | [Consume the Concoction Chalice]                | Drink from a Chalice                                                                                                             | minecraft:nether/brew_potion                     |
| supplementaries:story/unenchanter                          | [Why Would You do That!?]                       | Grind an Enchanted Golden Apple                                                                                                  | minecraft:story/enchant_item                     |
| tconstruct:foundry/alloyer                                 | [Basic Alloyer]                                 | Create a basic alloying setup using an alloyer, a fuel tank, some ingot tanks, a casting table, a casting basin, and a faucet    | tconstruct:foundry/fantastic_foundry             |
| tconstruct:foundry/blaze                                   | [Blazing Blood]                                 | Fill a tank with blazing blood                                                                                                   | tconstruct:foundry/structure                     |
| tconstruct:foundry/encyclopedia                            | [Encyclopedia]                                  | Craft the encyclopedia of materials with your knowledge from all the books                                                       | tconstruct:foundry/fantastic_foundry             |
| tconstruct:foundry/fantastic_foundry                       | [Nether Smelting]                               | Create fantastic foundry, the nether smelting guidebook                                                                          | tconstruct:tools/materials_and_you               |
| tconstruct:foundry/manyullyn_lanterns                      | [Rich Lighting]                                 | Create a full stack of seared or scorched lanterns filled with molten manyullyn                                                  | tconstruct:foundry/structure                     |
| tconstruct:foundry/plate_armor                             | [Plate Armor]                                   | Create a full set of plate armor                                                                                                 | tconstruct:foundry/blaze                         |
| tconstruct:foundry/structure                               | [The Fantastic Foundry]                         | Craft a founry controller from alloyed obsidian, build a foundry, and open the foundry UI                                        | tconstruct:foundry/alloyer                       |
| tconstruct:smeltery/abilities                              | [Ability Master]                                | Apply every single default ability modifier to a tool at least once                                                              | tconstruct:smeltery/tinkers_anvil                |
| tconstruct:smeltery/cast_collector                         | [Cast Collector]                                | Collect one of each gold cast                                                                                                    | tconstruct:smeltery/gold_casting                 |
| tconstruct:smeltery/gold_casting                           | [Shiny Casts]                                   | Make a reusable casts out of gold                                                                                                | tconstruct:smeltery/melter                       |
| tconstruct:smeltery/melter                                 | [Basic Meltery]                                 | Make a basic melting setup with a melter, a heater or tank, a casting basin, a casting table, and a faucet                       | tconstruct:smeltery/puny_smelting                |
| tconstruct:smeltery/mighty_smelting                        | [Smelting 201]                                  | Craft the guidebook into the smeltery, mighty smelting                                                                           | tconstruct:smeltery/melter                       |
| tconstruct:smeltery/puny_smelting                          | [Smeltery Recruit]                              | Craft the guidebook puny smelting                                                                                                | tconstruct:tools/materials_and_you               |
| tconstruct:smeltery/sand_casting                           | [Sand Casting]                                  | Make a basic disposable casts out of sand                                                                                        | tconstruct:smeltery/melter                       |
| tconstruct:smeltery/structure                              | [The Mighty Smeltery]                           | Craft a smeltery controller from casting molten copper, build a smeltery, and open the smeltery UI                               | tconstruct:smeltery/mighty_smelting              |
| tconstruct:smeltery/tinkers_anvil                          | [Advanced Tool Making]                          | Craft a Tinker's Anvil using alloys from the smeltery!                                                                           | tconstruct:smeltery/structure                    |
| tconstruct:smeltery/tool_forge                             | [Tool Forge]                                    | Forge one of every broad tool in the anvil                                                                                       | tconstruct:smeltery/tinkers_anvil                |
| tconstruct:tools/make_part                                 | [Tool Parts]                                    | Create your first tool part using a pattern and some material in the part builder                                                | tconstruct:tools/part_builder                    |
| tconstruct:tools/material_master                           | [Material Master]                               | Use each default material at least once                                                                                          | tconstruct:tools/netherite_tier                  |
| tconstruct:tools/materials_and_you                         | [Tinker In Training]                            | Craft Materials and You, the introduction book into Tinkers' Construct                                                           | -                                                |
| tconstruct:tools/modified                                  | [Modification]                                  | Apply a modifier to a tinker tool                                                                                                | tconstruct:tools/tinker_tool                     |
| tconstruct:tools/netherite_tier                            | [Netherite Tier]                                | Create a tool with the netherite mining tier                                                                                     | tconstruct:tools/tinker_tool                     |
| tconstruct:tools/one_shot                                  | [One Shot]                                      | Create a melee weapon that can unconditionally kill any common monsters in a single non-critical attack (21 flat damage or more) | tconstruct:tools/tinker_tool                     |
| tconstruct:tools/part_builder                              | [Part Builder]                                  | Create a part builder, your first step to making tools                                                                           | tconstruct:tools/materials_and_you               |
| tconstruct:tools/perfect_aim                               | [Perfect Aim]                                   | Create a bow with 1.0 accuracy                                                                                                   | tconstruct:tools/tinker_tool                     |
| tconstruct:tools/tinker_station                            | [Tinker Station]                                | Create a tinker station to combine parts into tools                                                                              | tconstruct:tools/part_builder                    |
| tconstruct:tools/tinker_tool                               | [Novice Tinker]                                 | Create a your first tinker tool                                                                                                  | tconstruct:tools/tinker_station                  |
| tconstruct:tools/tool_smith                                | [Tool Smith]                                    | Create one of every default small tool                                                                                           | tconstruct:tools/tinker_tool                     |
| tconstruct:tools/travelers_gear                            | [Traveler]                                      | Craft a full set of traveler's gear                                                                                              | tconstruct:tools/tinker_station                  |
| tconstruct:tools/upgrade_slots                             | [All the Upgrades]                              | Give a tool 6 more upgrade slots using writable, recapitated, harmonious, resurrected, and gilded                                | tconstruct:tools/modified                        |
| tconstruct:world/blood_island                              | [Blood Island]                                  | Locate a blood island in the nether lava ocean                                                                                   | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/clay_island                               | [Clay Island]                                   | Locate a clay island in the sky                                                                                                  | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/earth_island                              | [Earthslime Island]                             | Locate an earthslime island in the ocean                                                                                         | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/ender_island                              | [Enderslime Island]                             | Locate an enderslime island in the end outer islands                                                                             | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/piggybackpack                             | [Pig Piggyback]                                 | Pick up a pig with a piggybackpack                                                                                               | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/sky_island                                | [Skyslime Island]                               | Locate a skyslime island in the sky                                                                                              | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/slime_collector                           | [Slime Collector]                               | Obtain all 5 types of slime                                                                                                      | tconstruct:world/tinkers_gadgetry                |
| tconstruct:world/slimeskull                                | [Skull Collector]                               | Craft every type of slimeskull                                                                                                   | tconstruct:world/slimesuit                       |
| tconstruct:world/slimesuit                                 | [Slimesuit]                                     | Create a full slimesuit                                                                                                          | tconstruct:world/ender_island                    |
| tconstruct:world/tinkers_gadgetry                          | [Tinker's Gadgetry]                             | Craft Tinker's Gadgetry to begin exploring the world                                                                             | tconstruct:tools/materials_and_you               |
| upgrade_aquatic:adventure/kill_great_thrasher              | [Gonna Need a Bigger Boat]                      | Kill the Great Thrasher                                                                                                          | upgrade_aquatic:adventure/tooth_fairy            |
| upgrade_aquatic:adventure/sleep_underwater                 | [Sleepin' with the Fishes]                      | Use a Bedroll underwater                                                                                                         | minecraft:adventure/sleep_in_bed                 |
| upgrade_aquatic:adventure/tooth_fairy                      | [Tooth Fairy]                                   | Collect the teeth of the Thrasher, an ancient horror that lurks deep in cold waters                                              | minecraft:adventure/kill_a_mob                   |
| upgrade_aquatic:adventure/unethical_dentistry              | [Unethical Dentistry]                           | Place any block made of Thrasher teeth                                                                                           | upgrade_aquatic:adventure/tooth_fairy            |
| upgrade_aquatic:husbandry/collect_all_pike                 | [Pike World Tour]                               | Collect every variant of Pike in a bucket                                                                                        | minecraft:husbandry/tactical_fishing             |
| upgrade_aquatic:husbandry/eat_pickerelweed                 | [Legal in Most States]                          | Smoke and eat Boiled Pickerelweed to regain water bubbles                                                                        | minecraft:husbandry/root                         |
| upgrade_aquatic:nether/sleepless_slave                     | [Sleepless Slave]                               | Create a Flare by afflicting a Phantom with insomnia                                                                             | minecraft:nether/brew_potion                     |
| upgrade_aquatic:nether/vibe_check                          | [Vibe Check]                                    | Brew a Lionfish into a Potion of Repellence and invert it with a Spider Eye for a Potion of Vibing                               | minecraft:nether/brew_potion                     |
+------------------------------------------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------+
| ID                                                         | Name                                            | Description                                                                                                                      | Parent                                           |
+------------------------------------------------------------+-------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------+
