+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
|  ID | Registry name                         | Fog Color             | Sky Color             | Water Color            | Water Fog Color      | Grass Color             | Foliage Color           |
| 119 | biomesoplenty:wasteland               | 0x00DBDDC1 (14409153) | 0x0070ADEF (7384559)  | 0x00433721 (4405025)   | 0x000C0C03 (789507)  | 0x00AD9364 (  11375460) | 0x00B5A76C (  11904876) |
| 120 | biomesoplenty:wetland                 | 0x00C0D8FF (12638463) | 0x007AA5FF (8037887)  | 0x00272179 (2564473)   | 0x000C031B (787227)  | 0x005A935F (   5935967) | 0x004F9657 (   5215831) |
| 121 | biomesoplenty:wooded_scrubland        | 0x00C0D8FF (12638463) | 0x0076A9FF (7776767)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFACBB50 (  -5457072) | 0xFF98A924 (  -6772444) |
| 122 | biomesoplenty:wooded_wasteland        | 0x00DBDDC1 (14409153) | 0x0070ADEF (7384559)  | 0x00433721 (4405025)   | 0x000C0C03 (789507)  | 0x00AD9364 (  11375460) | 0x00B5A76C (  11904876) |
| 123 | biomesoplenty:woodland                | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x009CC439 (  10273849) | 0x0085B408 (   8762376) |
| 124 | biomesoplenty:glowing_grotto          | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 125 | biomesoplenty:spider_nest             | 0x00C0D8FF (12638463) | 0x007BA4FF (8103167)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
| 126 | biomesoplenty:crystalline_chasm       | 0x0059002C (5832748)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 127 | biomesoplenty:erupting_inferno        | 0x004F2B13 (5188371)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 128 | biomesoplenty:undergrowth             | 0x001C2109 (1843465)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 129 | biomesoplenty:visceral_heap           | 0x00601F18 (6299416)  | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
| 130 | biomesoplenty:withered_abyss          | 0x000A0711 (657169)   | 0x006EB1FF (7254527)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x00312C36 (   3222582) | 0x00312C36 (   3222582) |
| 131 | autumnity:maple_forest                | 0x00C0D8FF (12638463) | 0x0079A6FF (7972607)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x009AB839 (  10139705) | 0x009FC944 (  10471748) |
| 132 | autumnity:pumpkin_fields              | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0x009AB839 (  10139705) | 0x009FC944 (  10471748) |
| 133 | quark:glimmering_weald                | 0x00C0D8FF (12638463) | 0x0078A7FF (7907327)  | 0x003F76E4 (4159204)   | 0x00050533 (329011)  | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
|  ID | Registry name                         | Fog Color             | Sky Color             | Water Color            | Water Fog Color      | Grass Color             | Foliage Color           |
+-----+---------------------------------------+-----------------------+-----------------------+------------------------+----------------------+-------------------------+-------------------------+
